,Name,Season,Reviews Link,Date
0,Pilot,1,https://www.imdb.com/title/tt0959621/reviews?ref_=tt_urv,20 Jan. 2008
1,Cat's in the Bag...,1,https://www.imdb.com/title/tt1054724/reviews?ref_=tt_urv,27 Jan. 2008
2,...And the Bag's in the River,1,https://www.imdb.com/title/tt1054725/reviews?ref_=tt_urv,10 Feb. 2008
3,Cancer Man,1,https://www.imdb.com/title/tt1054726/reviews?ref_=tt_urv,17 Feb. 2008
4,Gray Matter,1,https://www.imdb.com/title/tt1054727/reviews?ref_=tt_urv,24 Feb. 2008
5,Crazy Handful of Nothin',1,https://www.imdb.com/title/tt1054728/reviews?ref_=tt_urv,2 Mar. 2008
6,A No-Rough-Stuff-Type Deal,1,https://www.imdb.com/title/tt1054729/reviews?ref_=tt_urv,9 Mar. 2008
7,Seven Thirty-Seven,2,https://www.imdb.com/title/tt1232244/reviews?ref_=tt_urv,8 Mar. 2009
8,Grilled,2,https://www.imdb.com/title/tt1232249/reviews?ref_=tt_urv,15 Mar. 2009
9,Bit by a Dead Bee,2,https://www.imdb.com/title/tt1232250/reviews?ref_=tt_urv,22 Mar. 2009
10,Down,2,https://www.imdb.com/title/tt1232251/reviews?ref_=tt_urv,29 Mar. 2009
11,Breakage,2,https://www.imdb.com/title/tt1232252/reviews?ref_=tt_urv,5 Apr. 2009
12,Peekaboo,2,https://www.imdb.com/title/tt1232253/reviews?ref_=tt_urv,12 Apr. 2009
13,Negro y Azul,2,https://www.imdb.com/title/tt1232254/reviews?ref_=tt_urv,19 Apr. 2009
14,Better Call Saul,2,https://www.imdb.com/title/tt1232255/reviews?ref_=tt_urv,26 Apr. 2009
15,4 Days Out,2,https://www.imdb.com/title/tt1232256/reviews?ref_=tt_urv,3 May 2009
16,Over,2,https://www.imdb.com/title/tt1232245/reviews?ref_=tt_urv,10 May 2009
17,Mandala,2,https://www.imdb.com/title/tt1232246/reviews?ref_=tt_urv,17 May 2009
18,Phoenix,2,https://www.imdb.com/title/tt1232247/reviews?ref_=tt_urv,24 May 2009
19,ABQ,2,https://www.imdb.com/title/tt1232248/reviews?ref_=tt_urv,31 May 2009
20,No Más,3,https://www.imdb.com/title/tt1528116/reviews?ref_=tt_urv,21 Mar. 2010
21,Caballo sin Nombre,3,https://www.imdb.com/title/tt1615186/reviews?ref_=tt_urv,28 Mar. 2010
22,I.F.T.,3,https://www.imdb.com/title/tt1615187/reviews?ref_=tt_urv,4 Apr. 2010
23,Green Light,3,https://www.imdb.com/title/tt1615554/reviews?ref_=tt_urv,11 Apr. 2010
24,Más,3,https://www.imdb.com/title/tt1615555/reviews?ref_=tt_urv,18 Apr. 2010
25,Sunset,3,https://www.imdb.com/title/tt1615556/reviews?ref_=tt_urv,25 Apr. 2010
26,One Minute,3,https://www.imdb.com/title/tt1615944/reviews?ref_=tt_urv,2 May 2010
27,I See You,3,https://www.imdb.com/title/tt1615557/reviews?ref_=tt_urv,9 May 2010
28,Kafkaesque,3,https://www.imdb.com/title/tt1615558/reviews?ref_=tt_urv,16 May 2010
29,Fly,3,https://www.imdb.com/title/tt1615550/reviews?ref_=tt_urv,23 May 2010
30,Abiquiu,3,https://www.imdb.com/title/tt1615551/reviews?ref_=tt_urv,30 May 2010
31,Half Measures,3,https://www.imdb.com/title/tt1615552/reviews?ref_=tt_urv,6 Jun. 2010
32,Full Measure,3,https://www.imdb.com/title/tt1615553/reviews?ref_=tt_urv,13 Jun. 2010
33,Box Cutter,4,https://www.imdb.com/title/tt1683084/reviews?ref_=tt_urv,17 Jul. 2011
34,Thirty-Eight Snub,4,https://www.imdb.com/title/tt1683089/reviews?ref_=tt_urv,24 Jul. 2011
35,Open House,4,https://www.imdb.com/title/tt1683090/reviews?ref_=tt_urv,31 Jul. 2011
36,Bullet Points,4,https://www.imdb.com/title/tt1683091/reviews?ref_=tt_urv,7 Aug. 2011
37,Shotgun,4,https://www.imdb.com/title/tt1683092/reviews?ref_=tt_urv,14 Aug. 2011
38,Cornered,4,https://www.imdb.com/title/tt1683093/reviews?ref_=tt_urv,21 Aug. 2011
39,Problem Dog,4,https://www.imdb.com/title/tt1683094/reviews?ref_=tt_urv,28 Aug. 2011
40,Hermanos,4,https://www.imdb.com/title/tt1683095/reviews?ref_=tt_urv,4 Sep. 2011
41,Bug,4,https://www.imdb.com/title/tt1683096/reviews?ref_=tt_urv,11 Sep. 2011
42,Salud,4,https://www.imdb.com/title/tt1683085/reviews?ref_=tt_urv,18 Sep. 2011
43,Crawl Space,4,https://www.imdb.com/title/tt1683086/reviews?ref_=tt_urv,25 Sep. 2011
44,End Times,4,https://www.imdb.com/title/tt1683087/reviews?ref_=tt_urv,2 Oct. 2011
45,Face Off,4,https://www.imdb.com/title/tt1683088/reviews?ref_=tt_urv,9 Oct. 2011
46,Live Free or Die,5,https://www.imdb.com/title/tt2081647/reviews?ref_=tt_urv,15 Jul. 2012
47,Madrigal,5,https://www.imdb.com/title/tt2301457/reviews?ref_=tt_urv,22 Jul. 2012
48,Hazard Pay,5,https://www.imdb.com/title/tt2301459/reviews?ref_=tt_urv,29 Jul. 2012
49,Fifty-One,5,https://www.imdb.com/title/tt2301461/reviews?ref_=tt_urv,5 Aug. 2012
50,Dead Freight,5,https://www.imdb.com/title/tt2301463/reviews?ref_=tt_urv,12 Aug. 2012
51,Buyout,5,https://www.imdb.com/title/tt2301465/reviews?ref_=tt_urv,19 Aug. 2012
52,Say My Name,5,https://www.imdb.com/title/tt2301467/reviews?ref_=tt_urv,26 Aug. 2012
53,Gliding Over All,5,https://www.imdb.com/title/tt2301469/reviews?ref_=tt_urv,2 Sep. 2012
54,Blood Money,5,https://www.imdb.com/title/tt2301471/reviews?ref_=tt_urv,11 Aug. 2013
55,Buried,5,https://www.imdb.com/title/tt2301443/reviews?ref_=tt_urv,18 Aug. 2013
56,Confessions,5,https://www.imdb.com/title/tt2301445/reviews?ref_=tt_urv,25 Aug. 2013
57,Rabid Dog,5,https://www.imdb.com/title/tt2301447/reviews?ref_=tt_urv,1 Sep. 2013
58,To'hajiilee,5,https://www.imdb.com/title/tt2301449/reviews?ref_=tt_urv,8 Sep. 2013
59,Ozymandias,5,https://www.imdb.com/title/tt2301451/reviews?ref_=tt_urv,15 Sep. 2013
60,Granite State,5,https://www.imdb.com/title/tt2301453/reviews?ref_=tt_urv,22 Sep. 2013
61,Felina,5,https://www.imdb.com/title/tt2301455/reviews?ref_=tt_urv,29 Sep. 2013
